method,dt,runtime_seconds,mean_state_error,max_state_error,final_state_error,positivity_violations,max_invariant_drift
euler,0.2,0.0005897999799344689,1.8583785978518172,12.520596645889071,2.000322073967642,8.0,6.950590784917379
euler,0.1,0.00109039997914806,0.6657070488414853,2.44966984562316,1.7975976291399554,0.0,1.6054417585764647
euler,0.05,0.002587199996924028,0.26890466257689083,0.8670326396513637,0.854739579289177,0.0,0.4676889002934561
euler,0.025,0.004321199987316504,0.12111964396118269,0.5248262240400515,0.5248262240400515,0.0,0.18818392860526378
rk2,0.2,0.0010701999999582767,0.04309627246966971,0.12308223805165491,0.12308223805165491,0.0,0.009007384298245213
rk2,0.1,0.0021096999989822507,0.011227526161688109,0.032308096970146874,0.032308096970146874,0.0,0.0018662983407207179
rk2,0.05,0.0041896999755408615,0.0028646509623455854,0.008343262164436524,0.008343262164436524,0.0,0.0005083364934801438
rk2,0.025,0.00868669999181293,0.0007233810616316204,0.0021247345254018515,0.0021247345254018515,0.0,0.0001321437999544095
rk4,0.2,0.0022587999992538244,7.795752902425455e-05,0.00021772725592822802,0.0002094872468862798,0.0,3.160669161239582e-05
rk4,0.1,0.004500300012296066,4.99314207713254e-06,1.4392097120459265e-05,1.4392097120459265e-05,0.0,1.5681473946038693e-06
rk4,0.05,0.009409499994944781,3.1617193543519016e-07,9.410532471691022e-07,9.410532471691022e-07,0.0,8.583683897001038e-08
rk4,0.025,0.02010069999960251,1.989386715168706e-08,6.013052381566556e-08,6.013052381566556e-08,0.0,4.99106977969177e-09
